"Time","epistemology"
"2004-01-01",59
"2004-02-01",77
"2004-03-01",60
"2004-04-01",86
"2004-05-01",58
"2004-06-01",54
"2004-07-01",45
"2004-08-01",34
"2004-09-01",76
"2004-10-01",74
"2004-11-01",63
"2004-12-01",65
"2005-01-01",47
"2005-02-01",66
"2005-03-01",58
"2005-04-01",65
"2005-05-01",49
"2005-06-01",40
"2005-07-01",37
"2005-08-01",40
"2005-09-01",61
"2005-10-01",71
"2005-11-01",58
"2005-12-01",67
"2006-01-01",44
"2006-02-01",61
"2006-03-01",57
"2006-04-01",58
"2006-05-01",48
"2006-06-01",35
"2006-07-01",34
"2006-08-01",40
"2006-09-01",55
"2006-10-01",65
"2006-11-01",54
"2006-12-01",55
"2007-01-01",46
"2007-02-01",48
"2007-03-01",53
"2007-04-01",54
"2007-05-01",54
"2007-06-01",33
"2007-07-01",31
"2007-08-01",36
"2007-09-01",67
"2007-10-01",61
"2007-11-01",57
"2007-12-01",57
"2008-01-01",48
"2008-02-01",63
"2008-03-01",54
"2008-04-01",68
"2008-05-01",44
"2008-06-01",34
"2008-07-01",32
"2008-08-01",32
"2008-09-01",67
"2008-10-01",66
"2008-11-01",62
"2008-12-01",53
"2009-01-01",54
"2009-02-01",68
"2009-03-01",61
"2009-04-01",63
"2009-05-01",54
"2009-06-01",44
"2009-07-01",40
"2009-08-01",37
"2009-09-01",71
"2009-10-01",82
"2009-11-01",62
"2009-12-01",67
"2010-01-01",55
"2010-02-01",75
"2010-03-01",63
"2010-04-01",60
"2010-05-01",51
"2010-06-01",42
"2010-07-01",37
"2010-08-01",41
"2010-09-01",71
"2010-10-01",72
"2010-11-01",63
"2010-12-01",59
"2011-01-01",60
"2011-02-01",77
"2011-03-01",59
"2011-04-01",68
"2011-05-01",68
"2011-06-01",53
"2011-07-01",46
"2011-08-01",50
"2011-09-01",83
"2011-10-01",80
"2011-11-01",64
"2011-12-01",63
"2012-01-01",65
"2012-02-01",79
"2012-03-01",64
"2012-04-01",62
"2012-05-01",53
"2012-06-01",41
"2012-07-01",41
"2012-08-01",49
"2012-09-01",79
"2012-10-01",76
"2012-11-01",66
"2012-12-01",54
"2013-01-01",61
"2013-02-01",79
"2013-03-01",63
"2013-04-01",59
"2013-05-01",47
"2013-06-01",39
"2013-07-01",37
"2013-08-01",43
"2013-09-01",79
"2013-10-01",75
"2013-11-01",62
"2013-12-01",51
"2014-01-01",58
"2014-02-01",73
"2014-03-01",60
"2014-04-01",59
"2014-05-01",53
"2014-06-01",41
"2014-07-01",39
"2014-08-01",42
"2014-09-01",83
"2014-10-01",69
"2014-11-01",60
"2014-12-01",64
"2015-01-01",65
"2015-02-01",69
"2015-03-01",62
"2015-04-01",56
"2015-05-01",49
"2015-06-01",37
"2015-07-01",34
"2015-08-01",45
"2015-09-01",82
"2015-10-01",70
"2015-11-01",56
"2015-12-01",51
"2016-01-01",47
"2016-02-01",60
"2016-03-01",52
"2016-04-01",51
"2016-05-01",44
"2016-06-01",33
"2016-07-01",29
"2016-08-01",38
"2016-09-01",65
"2016-10-01",59
"2016-11-01",48
"2016-12-01",47
"2017-01-01",53
"2017-02-01",63
"2017-03-01",58
"2017-04-01",51
"2017-05-01",45
"2017-06-01",34
"2017-07-01",30
"2017-08-01",40
"2017-09-01",65
"2017-10-01",67
"2017-11-01",53
"2017-12-01",44
"2018-01-01",52
"2018-02-01",62
"2018-03-01",51
"2018-04-01",55
"2018-05-01",41
"2018-06-01",33
"2018-07-01",33
"2018-08-01",41
"2018-09-01",69
"2018-10-01",60
"2018-11-01",50
"2018-12-01",44
"2019-01-01",55
"2019-02-01",58
"2019-03-01",48
"2019-04-01",48
"2019-05-01",43
"2019-06-01",35
"2019-07-01",33
"2019-08-01",40
"2019-09-01",74
"2019-10-01",60
"2019-11-01",50
"2019-12-01",41
"2020-01-01",49
"2020-02-01",58
"2020-03-01",42
"2020-04-01",47
"2020-05-01",51
"2020-06-01",45
"2020-07-01",40
"2020-08-01",47
"2020-09-01",74
"2020-10-01",54
"2020-11-01",46
"2020-12-01",35
"2021-01-01",43
"2021-02-01",50
"2021-03-01",40
"2021-04-01",51
"2021-05-01",35
"2021-06-01",30
"2021-07-01",29
"2021-08-01",34
"2021-09-01",53
"2021-10-01",43
"2021-11-01",33
"2021-12-01",33
"2022-01-01",56
"2022-02-01",61
"2022-03-01",51
"2022-04-01",54
"2022-05-01",44
"2022-06-01",38
"2022-07-01",34
"2022-08-01",43
"2022-09-01",64
"2022-10-01",63
"2022-11-01",48
"2022-12-01",41
"2023-01-01",51
"2023-02-01",62
"2023-03-01",53
"2023-04-01",48
"2023-05-01",40
"2023-06-01",35
"2023-07-01",32
"2023-08-01",41
"2023-09-01",62
"2023-10-01",52
"2023-11-01",42
"2023-12-01",38
"2024-01-01",51
"2024-02-01",55
"2024-03-01",43
"2024-04-01",42
"2024-05-01",34
"2024-06-01",37
"2024-07-01",30
"2024-08-01",38
"2024-09-01",57
"2024-10-01",53
"2024-11-01",44
"2024-12-01",41
"2025-01-01",46
"2025-02-01",53
"2025-03-01",42
"2025-04-01",44
"2025-05-01",37
"2025-06-01",35
"2025-07-01",37
"2025-08-01",39
"2025-09-01",59
"2025-10-01",55
"2025-11-01",54
"2025-12-01",52
"2026-01-01",62
"2026-02-01",100
"2026-03-01",74
"2026-04-01",66
"2026-05-01",62
"2026-06-01",57
"2026-07-01",46
"2026-08-01",44
