path,role,extension,format_class,bytes,llm_access_class,root_index_visible_by_basename,extraction_status,extraction_path,extraction_basis,extraction_engine,extraction_characters,extraction_manifest
 ..✅ BOSONIC_TIME.pdf,archive-artifact,.pdf,pdf,250131,DERIVED_TEXT_AVAILABLE,True,OK,_AUTO_EXTRACTED_TEXT/ ..✅ BOSONIC_TIME.txt,manifest-exact,PyMuPDF,32495,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 ..✅ SAT CORE.pdf,archive-artifact,.pdf,pdf,175392,DERIVED_TEXT_AVAILABLE,True,OK,_AUTO_EXTRACTED_TEXT/ ..✅ SAT CORE.txt,manifest-exact,PyMuPDF,10516,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 ..✅ SATOBLOC_pre_lean.pdf,archive-artifact,.pdf,pdf,143792,DERIVED_TEXT_AVAILABLE,True,OK,_AUTO_EXTRACTED_TEXT/ ..✅ SATOBLOC_pre_lean.txt,manifest-exact,PyMuPDF,3933,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 ..✅ Satobloc Core.pdf,archive-artifact,.pdf,pdf,252893,DERIVED_TEXT_AVAILABLE,True,OK,_AUTO_EXTRACTED_TEXT/ ..✅ Satobloc Core.txt,manifest-exact,PyMuPDF,7727,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 ..✅ WANNA BOUNCE?.pdf,archive-artifact,.pdf,pdf,670811,DERIVED_TEXT_AVAILABLE,True,OK,_AUTO_EXTRACTED_TEXT/ ..✅ WANNA BOUNCE?.txt,manifest-exact,PyMuPDF,99395,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 O Addendum Proto-Candyface + Antiquer Mashup.txt,archive-artifact,.txt,native-text,30410,DIRECT_TEXT,True,,,,,,
 R Addendum Proto-TankAudrey.txt,archive-artifact,.txt,native-text,34308,DIRECT_TEXT,True,,,,,,
!_ANNOTATED_ARCHIVE_SURVEY.md,archive-artifact,.md,native-text,3976,DIRECT_TEXT,True,,,,,,
###. THEORY REFINEMENT SUMMARY.pdf,archive-artifact,.pdf,pdf,488381,DERIVED_TEXT_AVAILABLE,True,OK,_AUTO_EXTRACTED_TEXT/###. THEORY REFINEMENT SUMMARY.txt,manifest-exact,PyMuPDF,59170,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
% BIG PAPER (nolat).pdf,archive-artifact,.pdf,pdf,39860,DERIVED_TEXT_AVAILABLE,True,OK,_AUTO_EXTRACTED_TEXT/% BIG PAPER (nolat).txt,manifest-exact,PyMuPDF,8790,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
...2026_H(s)H_FORMULATION/gitignore.md,archive-artifact,.md,native-text,86,DIRECT_TEXT,True,,,,,,
...H(s)H_2026_FORMULATION,archive-artifact,.h(s)h_2026_formulation,other-binary-or-unknown,26,UNKNOWN_OR_BINARY,True,,,,,,
..MARCH_2026_NOLAT_PACKET_BIBLIOGRAPHIC_NOTE.txt,archive-artifact,.txt,native-text,7895,DIRECT_TEXT,True,,,,,,
..MATHEMATICAL_REPOSITORY,archive-artifact,.mathematical_repository,other-binary-or-unknown,28347,UNKNOWN_OR_BINARY,True,,,,,,
..MATHEMATICAL_REPOSITORY_ADDENDUM_2026-06-09.txt,archive-artifact,.txt,native-text,11377,DIRECT_TEXT,True,,,,,,
..[🎛️_NATHAN_DASH]/!_DASHBOARD.md,artifact-catalog-control,.md,native-text,11812,NON_SOURCE_LAYER,False,,,,,,
..[🎛️_NATHAN_DASH]/..Derivation_Index.md,artifact-catalog-control,.md,native-text,12884,NON_SOURCE_LAYER,False,,,,,,
..[🎛️_NATHAN_DASH]/..findex.txt,artifact-catalog-control,.txt,native-text,361,NON_SOURCE_LAYER,True,,,,,,
