source_path,source_format,extraction_path_old_archive,status,basis,engine,characters,manifest
 ..✅ BOSONIC_TIME.pdf,pdf,_AUTO_EXTRACTED_TEXT/ ..✅ BOSONIC_TIME.txt,OK,manifest-exact,PyMuPDF,32495,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 ..✅ SAT CORE.pdf,pdf,_AUTO_EXTRACTED_TEXT/ ..✅ SAT CORE.txt,OK,manifest-exact,PyMuPDF,10516,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 ..✅ SATOBLOC_pre_lean.pdf,pdf,_AUTO_EXTRACTED_TEXT/ ..✅ SATOBLOC_pre_lean.txt,OK,manifest-exact,PyMuPDF,3933,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 ..✅ Satobloc Core.pdf,pdf,_AUTO_EXTRACTED_TEXT/ ..✅ Satobloc Core.txt,OK,manifest-exact,PyMuPDF,7727,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
 ..✅ WANNA BOUNCE?.pdf,pdf,_AUTO_EXTRACTED_TEXT/ ..✅ WANNA BOUNCE?.txt,OK,manifest-exact,PyMuPDF,99395,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
###. THEORY REFINEMENT SUMMARY.pdf,pdf,_AUTO_EXTRACTED_TEXT/###. THEORY REFINEMENT SUMMARY.txt,OK,manifest-exact,PyMuPDF,59170,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
% BIG PAPER (nolat).pdf,pdf,_AUTO_EXTRACTED_TEXT/% BIG PAPER (nolat).txt,OK,manifest-exact,PyMuPDF,8790,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
0PHYS_REV_D_V_1_Submission.pdf,pdf,_AUTO_EXTRACTED_TEXT/0PHYS_REV_D_V_1_Submission.txt,OK,manifest-exact,PyMuPDF,4439,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
2023-24 FRAMEWORK DEVELOPMENT/Audit Code Package Construction Guide.pdf,pdf,_AUTO_EXTRACTED_TEXT/Audit Code Package Construction Guide.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/McKnight_N_SAT-QR.pdf,pdf,_AUTO_EXTRACTED_TEXT/McKnight_N_SAT-QR.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/Minimal Introduction (SAT O era).pdf,pdf,_AUTO_EXTRACTED_TEXT/Minimal Introduction (SAT O era).txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_Framework_Final_Report_Cleaned.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_Framework_Final_Report_Cleaned.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_Framework_Report_Plain.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_Framework_Report_Plain.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_LAB1_Composite_Binding_Simulation_Report.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_LAB1_Composite_Binding_Simulation_Report.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_LAB1_Energy_Tau_Results.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_LAB1_Energy_Tau_Results.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_LAB1_Full_Annealing_Radial_Kink_Report.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_LAB1_Full_Annealing_Radial_Kink_Report.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_LAB1_Full_Annealing_Radial_Kink_Report_REGEN.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_LAB1_Full_Annealing_Radial_Kink_Report_REGEN.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_LAB1_Radial_Fringe_Falsifiability_Report.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_LAB1_Radial_Fringe_Falsifiability_Report.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_Lab1_Visuals_Compiled.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_Lab1_Visuals_Compiled.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_Lab1_Visuals_Landscape.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_Lab1_Visuals_Landscape.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_Lab1_Visuals_Landscape_Scaled_Fit.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_Lab1_Visuals_Landscape_Scaled_Fit.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2023-24 FRAMEWORK DEVELOPMENT/SAT_ST_integration_test.pdf,pdf,_AUTO_EXTRACTED_TEXT/SAT_ST_integration_test.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2025.10.29+Prototype+Fact+Sheet.pdf,pdf,_AUTO_EXTRACTED_TEXT/2025.10.29+Prototype+Fact+Sheet.txt,OK,manifest-exact,PyMuPDF,7827,_AUTO_EXTRACTED_TEXT/_manifests/2026-09-10_root_pdf_extraction_pass_002.json
2026/Consciousness + AI/Consciousness_of_AI.pdf,pdf,_AUTO_EXTRACTED_TEXT/Consciousness_of_AI.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  DRAFT PAPER/0PHYS_REV_D_V_1_Submission.pdf,pdf,_AUTO_EXTRACTED_TEXT/0PHYS_REV_D_V_1_Submission.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  DRAFT PAPER/2PHYS_REV_D_V_1_Submission.pdf,pdf,_AUTO_EXTRACTED_TEXT/2PHYS_REV_D_V_1_Submission.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  DRAFT PAPER/3PHYS_REV_D_V_1_Submission.pdf,pdf,_AUTO_EXTRACTED_TEXT/3PHYS_REV_D_V_1_Submission.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  DRAFT PAPER/4PHYS_REV_D_V_1_Submission.pdf,pdf,_AUTO_EXTRACTED_TEXT/4PHYS_REV_D_V_1_Submission.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/PULSAR_PAPER.pdf,pdf,_AUTO_EXTRACTED_TEXT/PULSAR_PAPER.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-10.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-10.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-11.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-11.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-12.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-12.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-13.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-13.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-14.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-14.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-2.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-2.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-3.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-3.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-4.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-4.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-5.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-5.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-6.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-6.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-7.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-7.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
2026/SAT  REVAMP — MARCH 2026/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-8.pdf,pdf,_AUTO_EXTRACTED_TEXT/SCALAR_ANGULAR_TORSION___PHYS_D_FINAL-8.txt,LEGACY_NAME_MATCH,legacy-basename-unique,,,
