source_path,format_class,bytes,reason
000 Earliest SAT_RMS/160bpm.PNG,image,26868,no extraction mapping located
000 Earliest SAT_RMS/20bpm.PNG,image,30086,no extraction mapping located
000 Earliest SAT_RMS/30bpm.PNG,image,42707,no extraction mapping located
000 Earliest SAT_RMS/35bpm.PNG,image,40950,no extraction mapping located
000 Earliest SAT_RMS/37bpm.PNG,image,36203,no extraction mapping located
000 Earliest SAT_RMS/38bpm.PNG,image,39193,no extraction mapping located
000 Earliest SAT_RMS/40bpm.PNG,image,39732,no extraction mapping located
000 Earliest SAT_RMS/43.33.PNG,image,27163,no extraction mapping located
000 Earliest SAT_RMS/60bpm.PNG,image,41988,no extraction mapping located
000 Earliest SAT_RMS/70bpm.PNG,image,42707,no extraction mapping located
000 Earliest SAT_RMS/80bpm.PNG,image,37091,no extraction mapping located
000 Earliest SAT_RMS/Index1.PNG,image,70606,no extraction mapping located
000 Earliest SAT_RMS/SAT - BEFORE SAT PREDICTIONBOOK - 2012.png,image,302624,no extraction mapping located
000 Earliest SAT_RMS/SAT EARLY - CHATGPT MEMORY SAVED - 2024.png,image,214092,no extraction mapping located
000 Earliest SAT_RMS/SAT EARLY EARLY - 2023.png,image,141204,no extraction mapping located
000 Earliest SAT_RMS/SAT EARLY SYSTEMATICS 2.png,image,161912,no extraction mapping located
000 Earliest SAT_RMS/SAT EARLY SYSTEMATICS.png,image,174656,no extraction mapping located
000 Earliest SAT_RMS/SAT FIRST - 2024.png,image,157081,no extraction mapping located
000 Earliest SAT_RMS/SAT FIRST DIMGRAV - 2024.png,image,133563,no extraction mapping located
000 Earliest SAT_RMS/SAT FIRST Forces Temporal.png,image,176976,no extraction mapping located
000 Earliest SAT_RMS/SAT FIRST MENTIONS 2.png,image,155173,no extraction mapping located
000 Earliest SAT_RMS/SAT FIRST MENTIONS.png,image,87077,no extraction mapping located
000 Earliest SAT_RMS/SAT FIRSTS - PT.png,image,152889,no extraction mapping located
000 Earliest SAT_RMS/SAT HIST - 2025.png,image,160097,no extraction mapping located
000 Earliest SAT_RMS/SAT HIST - FILE LIBRARY  (ONEDRIVE).png,image,183956,no extraction mapping located
000 Earliest SAT_RMS/SAT HIST - FILE LIBRARY 2 (ONEDRIVE).png,image,185174,no extraction mapping located
000 Earliest SAT_RMS/SAT HIST - FILE LIBRARY 3 (ONEDRIVE).png,image,195672,no extraction mapping located
000 Earliest SAT_RMS/SAT HIST 4-7-2025.png,image,155713,no extraction mapping located
000 Earliest SAT_RMS/SAT HIST.png,image,220062,no extraction mapping located
000 Earliest SAT_RMS/SAT PREHIST 2.png,image,176431,no extraction mapping located
000 Earliest SAT_RMS/SAT PREHIST 2025.png,image,176725,no extraction mapping located
000 Earliest SAT_RMS/SAT PREHISTORY - CHAT 1.png,image,176426,no extraction mapping located
000 Earliest SAT_RMS/SAT SYNTHESIS 2025-4-4.png,image,176541,no extraction mapping located
000 Earliest SAT_RMS/SAT SYSTEM - NAUT - 2025.png,image,180968,no extraction mapping located
000 Earliest SAT_RMS/SAT VERYFIRST 2024-3-13.png,image,114991,no extraction mapping located
000 Earliest SAT_RMS/SAT_CALC_GOOGLE.PNG,image,207901,no extraction mapping located
000 Earliest SAT_RMS/early_google_docs.PNG,image,279418,no extraction mapping located
000 Earliest SAT_RMS/january2025.PNG,image,405635,no extraction mapping located
000 Earliest SAT_RMS/sat 2025.png,image,153713,no extraction mapping located
000 Earliest SAT_RMS/sat histy.png,image,224456,no extraction mapping located
01_sphere_state_curves.png,image,286985,no extraction mapping located
02_whirlygig_torus_trace_limited.png,image,417740,no extraction mapping located
02_whirlygig_torus_trace_raw.png,image,422089,no extraction mapping located
03_residual_profile.png,image,58953,no extraction mapping located
10-31-2025 SAT FULL THEORY/BELLOMY_N_Phys_Rev_D_Submission.pdf,pdf,231211,no extraction mapping located
10-31-2025 SAT FULL THEORY/BELLOMY_N_Phys_Rev_D_Supplement.pdf,pdf,308901,no extraction mapping located
2003 SKETCHES/Earliest_Surviving_Sketches_2003.png,image,1045637,no extraction mapping located
2003 SKETCHES/Earliest_Surviving_Sketches_2003_2.png,image,993465,no extraction mapping located
2003 SKETCHES/Earliest_Surviving_Sketches_2003_3.png,image,1010584,no extraction mapping located
2003 SKETCHES/Earliest_Surviving_Sketches_2003_4.png,image,1103761,no extraction mapping located
2003 SKETCHES/Earliest_Surviving_Sketches_2003_5.png,image,1116211,no extraction mapping located
2003 SKETCHES/Earliest_Surviving_Sketches_2003_6.png,image,1012598,no extraction mapping located
2003 SKETCHES/Earliest_Surviving_Sketches_Leuchtturm_notebook_2003.png,image,1070740,no extraction mapping located
2003 SKETCHES/Earliest_Surviving_Sketches_Leuchtturm_notebook_No-42_2003.png,image,1095696,no extraction mapping located
2003 SKETCHES/IMG_1737.pdf,pdf,6466544,no extraction mapping located
2003 SKETCHES/IMG_1738.pdf,pdf,2175997,no extraction mapping located
2003 SKETCHES/IMG_1759.pdf,pdf,6802761,no extraction mapping located
2003 SKETCHES/IMG_1784.pdf,pdf,7839743,no extraction mapping located
2003 SKETCHES/IMG_1811.pdf,pdf,7870330,no extraction mapping located
2003 SKETCHES/IMG_1841.jpeg,image,1950710,no extraction mapping located
2003 SKETCHES/IMG_1842.jpeg,image,1912547,no extraction mapping located
2003 SKETCHES/IMG_1843.jpeg,image,1766634,no extraction mapping located
2003 SKETCHES/IMG_1893.pdf,pdf,2217381,no extraction mapping located
2003 SKETCHES/IMG_9056.jpeg,image,455293,no extraction mapping located
2003 SKETCHES/SAT EARLY EARLY - 2023-5-28.PNG,image,141204,no extraction mapping located
2003 SKETCHES/SAT FIRST - 2024-3-24.PNG,image,157081,no extraction mapping located
2003 SKETCHES/SAT FIRST DIMGRAV - 2024.PNG,image,133563,no extraction mapping located
2003 SKETCHES/SAT FIRST Forces Temporal 2024-8-8.PNG,image,176976,no extraction mapping located
2003 SKETCHES/SAT PREHIST 2024-11-12.PNG,image,176431,no extraction mapping located
2003 SKETCHES/SAT PREHISTORY - CHAT 1.PNG,image,176426,no extraction mapping located
2003 SKETCHES/SAT SYSTEM - NAUT - 2025-4-6.PNG,image,180968,no extraction mapping located
2003 SKETCHES/SAT VERYFIRST 2024-3-13.PNG,image,114991,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/DEEP DIVE PRONUNCIATION GUIDE PT2.pdf,pdf,44533,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/DEEP DIVE PRONUNCIATION GUIDE.pdf,pdf,150302,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT-NaiveGPT.png,image,125789,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT-NaiveGPT2.png,image,109805,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT-NaiveGPT3.png,image,122053,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT-NaiveGPT4.png,image,132558,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT-NaiveGPT5.png,image,136410,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT-NaiveGPT6.png,image,131534,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT.4D Deep Dive Pronunciation Guide.pdf,pdf,112037,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT_Earliest_Notebook_2003_Documented.pdf,pdf,7712005,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT_Errata_and_Wordcount_Overview_with_Captions.pdf,pdf,1172723,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT_REWRITE.pdf,pdf,5329850,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT_Visual_Archive_FULL_Captioned_RETRY.pdf,pdf,12016863,no extraction mapping located
2023-24 FRAMEWORK DEVELOPMENT/SAT_theta4_kink_retardance.png,image,75213,no extraction mapping located
2026 discussions/72_Snaps.pdf,pdf,20564247,no extraction mapping located
2026 discussions/SAT CONSC PROOF — Consciousness_of_AI.pdf,pdf,214244,no extraction mapping located
2026 discussions/SAT CONSC — Not_ANy.pdf,pdf,144527,no extraction mapping located
2026 discussions/SAT CONSC — Not_ANy2.pdf,pdf,180049,no extraction mapping located
2026 discussions/SAT CONSC — Not_ANy3.pdf,pdf,150212,no extraction mapping located
2026/Alberr/Alberr 0.pdf,pdf,507958,no extraction mapping located
2026/Alberr/Alberr 1.5.pdf,pdf,219093,no extraction mapping located
2026/Alberr/Alberr 2.pdf,pdf,327307,no extraction mapping located
2026/Alberr/Alberr 3.pdf,pdf,81844,no extraction mapping located
2026/Alberr/Alberr 4.pdf,pdf,304437,no extraction mapping located
2026/Consciousness + AI/CHAT — Tell me.pdf,pdf,147977,no extraction mapping located
2026/Consciousness + AI/Over 1.pdf,pdf,150212,no extraction mapping located
2026/Consciousness + AI/Over 2.pdf,pdf,180049,no extraction mapping located
2026/Consciousness + AI/Over 3.pdf,pdf,144527,no extraction mapping located
2026/Consciousness + AI/Silence.pdf,pdf,336149,no extraction mapping located
2026/Consciousness + AI/rusty button.pdf,pdf,13519,no extraction mapping located
2026/Consciousness + AI/solonoid2.pdf,pdf,275890,no extraction mapping located
2026/Consciousness + AI/solonoid5.pdf,pdf,124358,no extraction mapping located
2026/Musings/Conlang.pdf,pdf,559969,no extraction mapping located
2026/Musings/Misc — A Chat.pdf,pdf,192987,no extraction mapping located
2026/Musings/conlang2.pdf,pdf,609403,no extraction mapping located
2026/Musings/conlang3.pdf,pdf,11146893,no extraction mapping located
2026/Musings/misc Central Recursion.pdf,pdf,316867,no extraction mapping located
2026/REFERENCE — GR/9712019v1.pdf,pdf,1583209,no extraction mapping located
2026/REFERENCE — GR/genrel_2010.pdf,pdf,412543,no extraction mapping located
2026/REFERENCE — STRING THEORY/078974bf19381340cab50a86fc8cc89f_lecture19.pdf,pdf,173070,no extraction mapping located
2026/REFERENCE — STRING THEORY/0b0d0496b0cfbbba1d88858ca8362e98_lecture11.pdf,pdf,213637,no extraction mapping located
2026/REFERENCE — STRING THEORY/0d1bda106dfd2af510daf14b261c56fb_lecture10.pdf,pdf,171587,no extraction mapping located
2026/REFERENCE — STRING THEORY/1c9e44c6a1b94e7c371c307a93779ffb_lecture25.pdf,pdf,278953,no extraction mapping located
2026/REFERENCE — STRING THEORY/22f010a84df39d4448ec5ff59382413d_lecture04.pdf,pdf,160094,no extraction mapping located
2026/REFERENCE — STRING THEORY/2f8805397ee8506926404a60d8d677d2_lecture16.pdf,pdf,277203,no extraction mapping located
2026/REFERENCE — STRING THEORY/6da5e974c4b04023f5dfa82875de834f_lecture15.pdf,pdf,206490,no extraction mapping located
2026/REFERENCE — STRING THEORY/6e89ec211a53149e0f87d350191c4f63_lecture12.pdf,pdf,213353,no extraction mapping located
2026/REFERENCE — STRING THEORY/74a1f200767f0e321a50d878f7dc41e0_lecture02.pdf,pdf,166007,no extraction mapping located
2026/REFERENCE — STRING THEORY/829a382e2a755917efbfc190507e51df_lecture01.pdf,pdf,249941,no extraction mapping located
2026/REFERENCE — STRING THEORY/83dc0482e297f2ec6f03932553411230_lecture20.pdf,pdf,162872,no extraction mapping located
2026/REFERENCE — STRING THEORY/8caef2b2fd460cd03dde5d4700041ee0_lecture14.pdf,pdf,185054,no extraction mapping located
2026/REFERENCE — STRING THEORY/992574ecdb4b83911e7514b8c4a2e507_lecture05.pdf,pdf,184476,no extraction mapping located
2026/REFERENCE — STRING THEORY/a1005e3538578985183f9c5e183e6e87_lecture21.pdf,pdf,179793,no extraction mapping located
2026/REFERENCE — STRING THEORY/a13b3444c1e2926aca5f25bdda522bc6_lecture07.pdf,pdf,203669,no extraction mapping located
2026/REFERENCE — STRING THEORY/a3e418ff0049144b2a70f4c8bdd5d8d1_lecture24.pdf,pdf,199018,no extraction mapping located
2026/REFERENCE — STRING THEORY/a7c18070db260c88a6fe9080afabc659_lecture13.pdf,pdf,132821,no extraction mapping located
2026/REFERENCE — STRING THEORY/a9489a562dc17c13491aab189b92f012_lecture09.pdf,pdf,186981,no extraction mapping located
2026/REFERENCE — STRING THEORY/af966809bba8f11cacf5f4e88d75ed1d_lecture06.pdf,pdf,212298,no extraction mapping located
